Time_s,Voltage_V
0,3.38545454545455
1,3.38545454545455
2,3.36
3,3.36
4,3.36
5,3.36
6,3.36
7,3.36
8,3.36
9,3.36
10,3.36
11,3.36
12,3.36
13,3.36
14,3.36
15,3.36
16,3.38545454545455
17,3.36
18,3.36
19,3.36
20,3.36
21,3.36
22,3.38545454545455
23,3.36
24,3.36
25,3.36
26,3.36
27,3.36
28,3.36
29,3.36
30,3.36
31,3.36
32,3.36
33,3.38545454545455
34,3.36
35,3.36
36,3.36
37,3.36
38,3.36
39,3.36
40,3.36
41,3.36
42,3.38545454545455
43,3.36
44,3.36
45,3.38545454545455
46,3.36
47,3.36
48,3.36
49,3.36
50,3.38545454545455
51,3.36
52,3.36
53,3.36
54,3.36
55,3.36
56,3.36
57,3.36
58,3.36
59,3.36
